address,maxClaimable,price
0x0000005D3584925BFE774d112B623469533d1655,1,0
0x000361cB0078b5567A59FDD4e395D89042D2Ba5E,1,0
0x000bE6EA15efe5e7dE25314Bf6E818Cd5a64CB20,1,0
0x0019545C100c3441C4E9D40f24478FBFFA53fd8A,1,0
0x0065Ad1f7F309f2184c499000CE068d84714dBF7,1,0
0x0087B8616714e74d681430bf4F9A1189965bB16F,1,0
0x00A63087446564108E0DF27F5c26bbfa886B98CD,1,0
0x00c63130ed93977f50FB5Ee52f5BeE0dF02b15B1,1,0
0x0119DE85D18A4aA8Ee92bC025bFda33Ae0d0Fc68,1,0
0x0138218C7d775474202af17Fda3BF4824341839d,1,0
0x015B94E593ad6250C4663C03D97cB7411Bd148C6,1,0
0x0186a9aA28b0a0D0466627F267BbFfd06ab20CbE,1,0
0x0221641ad96390F9Ca8c8f0F9FEe001Fbc4bD031,1,0
0x023A6b45FAd163368BD8d9925c957D1e3eE17329,1,0
0x02856faDF19fDd7049a981885a575D962135Fa8b,1,0
0x028835d164DDF9b64c81173fC92FAD6c122FD11a,1,0
0x029339aDd846102f847B409cA425F232B60f0a80,1,0
0x02D9d71050F22F1FfCFc08544C098e1970ddc53A,1,0
0x02FdED18dc9724BB6D94401600A6206Ba34923ef,1,0
0x0379ed895F8b2DB1bA771ECDDEE2839E1539fe18,1,0
0x03dBa6559900418Bf7ea06a8582a1C7AD7a57e7a,1,0
0x03F873E351c7708f2611479B4bC33818C3a015be,1,0
0x046786EeAcdAE3707b70486D0e376a8F7E138e48,1,0
0x04738A5218560E7c8aa8fceF38c2B18dAb4A95dD,1,0
0x055DBb588a91502D81e3D51571bD32AeB12D347E,1,0
0x058FD36A48e1C9980B34b41eaC8a46C3EAF19A41,1,0
0x05a588Ba793b64Ae6b74a74Fc86eE1C33f6c5742,1,0
0x05a5Afc4d5A890Bde3A61506dC3085b83f78Dc05,1,0
0x05cA57b3138AE70AA40F1bf25ff7e9475eC5aD97,1,0
0x05Ca595c01ed009Ab4f32ba0E8daF309Aa4c9509,1,0
0x068748648DE1AFF79f8045a3E0B74b6f227f5837,1,0
0x06b4F02100E6757Bb3D21291b541bbAA80F6eC90,1,0
0x06c792c9d78A8eed0F7130a83f3adBE0a7B10F25,1,0
0x06E3cEA7a4413A27c7276D2C4406226C880a3C90,1,0
