address,maxClaimable,price
0x477508C5575eCB947A106E505E79BE37FC5eA9ab,1,0
0x19c2b510bAB8494F096869d364609e331C20339A,1,0
0x61b84CaB9dd4B629cC934Bb2D1D69f9Dc43f0d34,1,0
0x050828157e7a523A8131E4Ee25b7d19DaE7114fC,1,0
0xF3dB74d82183a5825f601B11c7E4eE4acD6f9442,1,0
0xd9d19E926205Bc124543f42862F0881B5eDCB00c,1,0
0x4fB9A6B3726a4D3d9e6a98eB2FB896B82D50D45D,1,0
0x1929139d72f785b5640398684D397aB64969C2aa,1,0
0x0D8EBa5eCdbd2Ee5734CbB26C5F660426D493772,1,0
0xceEBD3A3aa69C6BbfdceB61E8F74470Ab4B3ceb9,1,0
0xb9f36F7239c03903fAaAA9A2b29F916068989a3a,1,0
0x714506F6d4b93706592376Aba54Cac48ce4268bf,1,0
0x4E7c6883648D9C91e773b75E73CceA7F9BeB366D,1,0
0x020a5E9D86f147f81AA50aaAe270998Ac1a228B2,1,0
0x4d7D85Df9D9Dd17c41FCcA32aA8fC49ed0D973ab,1,0
0x7AAFE2e0aF5E8315cf61d6d40fb5cbC2e3ab7327,1,0
0xA723E96c191D24c15C5ec9cDFa54AdFA84CE7814,1,0
0x4B74149985A02512Da853e755d581788bF235a1D,1,0
0xE3EE6A4296e0b01fcD375eD8D0bb38c211528691,1,0
0x368eED900A32A6bd13BDF803c15d548C8D380bb2,1,0
0x1fC64bCaa3b5d98A2ac32507812b1D75b7356Daa,1,0
0xB6C820979ebBc0e42230B93D4490277eF9EBe3Fc,1,0
0x2F04E3ab84e681F58f86C600a4e102fB2b121c0E,1,0
0x259218Bc7E526D9C2EeD0B6F94ca1E9C808c5f26,1,0
0x23671E4e206FBb33E487fCF453f83bc5b6c3BD1F,1,0
0xBfD7591C08C04323E1f29dE70A0EE2d696fD98A5,1,0
0xF91F471DFE7d121D4Ebc096D648083d5F385d317,1,0
0xAE6d1AfeBE6f5E16f83F15bcA032d0457BA41F1B,1,0
0xC6A514A35d7268D1Be5A740007B1276b539767e6,1,0
0xA7C153a3Ad799564EB7c1F10D2713703Ff87D677,1,0
0x88ca22DaFEE5C547880bf40B75A24A61b65A3f49,1,0
0x8502093834e7eC269DC6b6caDeC910F675139BDC,1,0
0x3e4e24869834167D051cB49faB6b4a6974F6a8D0,1,0
0x2a288b7712fbD0E504bD760eA66d3a0DFa074D9b,1,0
